,type,places,date_stamp,time_start,time_end,time_stamp
32,Vrije Fitness,22,2020-12-07,06:00,07:00,2020-12-07 06:00
45,Vrije Fitness,1,2020-12-07,16:00,17:00,2020-12-07 16:00
55,Vrije Fitness,8,2020-12-07,22:00,23:00,2020-12-07 22:00
56,Vrije Fitness,27,2020-12-08,06:00,07:00,2020-12-08 06:00
57,Vrije Fitness,13,2020-12-08,07:00,08:00,2020-12-08 07:00
66,Vrije Fitness,5,2020-12-08,12:00,13:00,2020-12-08 12:00
67,Vrije Fitness,12,2020-12-08,13:00,14:00,2020-12-08 13:00
68,Vrije Fitness,18,2020-12-08,14:00,15:00,2020-12-08 14:00
69,Vrije Fitness,7,2020-12-08,15:00,16:00,2020-12-08 15:00
82,Vrije Fitness,20,2020-12-08,22:00,23:00,2020-12-08 22:00
